id,title,authors,venue,year
YQ90BYSVqbsJ,A Multi-Similarity Algebra,"S AdalÃÂ±, P Bonatti, ML Sapino, VS Subrahmanian","Proc. of SIGMOD, L. Haas and A. Tiwary",N/A
_CkpzhLiR30J,Query cachingand optimization in distributed mediator systems,"S Adali, KS Candan, Y Papakonstantinou, VS  ","Proceedingsof the ACM Sigmod Conference,",N/A
BpZjLfob1eIJ,Optimization in Distributed Mediator Systems,"S Adali, KS Candan, Y Papakonstantinou, VS  ","Proc. ACM SIGMOD,",N/A
I8qFyTX4FhoJ,Query Caching and Optimization in Distributed Media Systems,"S Adali, KS Candan, Y Papakonstantinou, VS  ",Proc. of,N/A
npAaKsmFlpcJ,SubrahmanianV. S. Query caching and optimization in distributed mediator systems,"S Adali, K Candan, Y Papakonstantinou",Proc. of,N/A
pw234_REfHUJ,Query Caching and Optimization in Mediator Systems,"S Adali, S Candan, Y Papakonstantinou, VS  ",ACM,N/A
Ra8-qY_qjZoJ,"QueryCachingandOptimizationinDistributed MediatorSystems, inH. V. Jagadish and Inderpal Singh Mumick ","S Adali, KS Candan, Y Papakonstantinou, VS  ","Proc. of the 1996 ACM SIGMOD Conf. on Managementof Data,",N/A
rmtEGXAXHKIJ,"Query Caching and Optimization in Distributed Mediator Systems, proceedings of ACM SIGMOD  ","S Adali, KS Candan, Y Papakonstantinou, VS  ","Montreal, Canada, June",N/A
uMmcsye0YCkJ,Query Caching and Optimization in Distributed Mediator Systems,", KS Candan, Y Papakonstantinou, VS Subrahmanian",Proc. of the 1996 Sigmod Conference on Management of,N/A
zE4iM0h4W2sJ,"Papakonstantinou, and VS Subrahmanian. Query Caching and Optimization in Distributed Mediator  ","SA ACPS, KS Candan",Proceedings of the ACM SIGMOD International Conference on ,N/A
7OvO0Y3IU8gJ,S. Subrahmanian. Amultimediapresentation algebra,"S Adali, ML SapinoetV","&hellip;  of the ACM SIGMOD International Conference on Management of &hellip;,",N/A
bhWLVCoDuNQJ,A Multimedia Presentation Algebra,"S Adal, ML Sapino, VS Subrahmanian",N/A,N/A
c2dH5RxNj6kJ,A Multimedia Presentation Algebra,"S AdalÃÂ±, ML Sapino, VS Subrahmanian","SIGMOD,",1999
Cbwq3JSxrSAJ,A Multimedia Presentation Algebra,"S Adah, ML Sapino, VS Subrahmanian","ACM SIGMOD, Philadelphia,",1999
3hsPMPTl2msJ,NoDoSE. ATool for semi-automatically Extracting StructeredandSemistructuredData from Text Document,B Adelberg,"Proc. ACM SIGMOD International Conference on Management of  &hellip;,",N/A
5I0ArBmDRcEJ,NoDoSE: A Tool for Semi-Automatically Extracting Structured and Semi-Structured Data from Text  ,B Adelberg,"SIGMOD RECORD,",1998
ahVfYoqGq6gJ,NoDoSE-A Tool for Semi-Automatically Extracted Structured and Semistructured Data from Text  ,B Adelberg,Proceedings of,N/A
JrU1gnfH1sYJ,NoDoSE {A Tool for Semi-Automatically Extracting Semi-Structured Data from Text,B Adelberg,"Proc. of the SIGMOD Conference, Seattle, June,",N/A
lyTJMJmpo8IJ,Tool for Semi-Automatically Extracting Structured and Semistructured Data from Text Documents,"B Adelberg, A NoDoSE","Proc. 1998 ACM SIGMOD Int&#39;l Conf. Management of Data (SIGMOD &hellip;,",N/A
UT0h0HcwLyUJ,NoDoSE {A Tool for Semi-Automatically Extracting Semi-Structured Data from Text Documents. In ACM  ,B Adelberg,"Seattle, Washington,",N/A
XytbGy--8LMJ,"Ã¢?? The Strip Rule System for Efficiently Maintaining Derived Data, &amp;rdquo","B Adelberg, H Garcia-Molina, J Widom","Proc. ACM SIGMOD Int&#39;l Conf. Management of Data,",N/A
zZo47Z-jVX4J,The STRIP Rule System For Efficiently Maintaining Derived Data,"B Adelberg, H Garcia-Molina, J Widom","SIGMOD Conference,",1997
3jUi_Yf4DfIJ,Monitoring Business Processes through Event Correlation based on Dependency Model,"A Adi, D Botzer, O Etzion, T Yatzkar-Haham",N/A,N/A
url:http://portal.acm.org/citation.cfm%3Fdoid%3D375663.375759,Monitoring business processes through event correlation based on dependency model,"A Adii, D Botzer, O Etzion, T Yatzkar-Haham","Proceedings of the 2001 ACM SIGMOD international conference  &hellip;,",2001
7YMi5qKSe2EJ,"Efficient Optimistic Concurrency Control using Loosely Synchronized Clocks, SIGMOD, San Jose, CA","A Adya, R Gruber, B Liskov, U Maheshwari",N/A,1995
bfcbZlt6vngJ,Efficient Optimistic Concurrency Control Using Loosely Synchronized Clocks,"A Adya, R Gruber, B Liskov, U Maheshwari","SIGMOD Conference,",1995
EP8u32KwMe4J,Efficient Optimistic Concurrency Control Using Loosely Synchronized Clocks. Submitted to the 1995  ,"A Adya, R Gruber, B Liskov, U Maheshwari",MIT Laboratory for Computer,N/A
FlE1JdgElGQJ,"Efficient Optimistic Concurrency Control Using Loosely Synchronized Clocks, ACM SIGMOD Int","A Adya, R Gruber, B Liskov, U Maheshwari","Conf. on Management of Data,",N/A
k7zpSukSfYsJ,Generating Efficient Plans for Queries Using Views,"FN Afrati, C Li, JD Ullman",N/A,N/A
U8adXFUIr3EJ,Pages generating efficient plans for queries using views,"FN Afrati, C Li, JD Ullman",Proceedings of the 2001 ACM SIGMOD international conference ,N/A
ALk7huiKjWAJ,A Super Scalar Sort Algorithm for RISC Processors,RC Agarwal,"SIGMOD Conference,",1996
Ca-BABwlsQAJ,A Super Scalar Sort Algorithm for RISC Processors,RC Agarwrd,"Proceedings of the i 996 ACIU SIGMOD Conference,",N/A
Fd0jPlSwFWcJ,A super scalar sort algorithm for RISC urocessors,CA lAMI Ramesh,"Proc. SIGMOD Intl. Conf: on ManagÃ¢??ement of Data,",N/A
5uimonC4q_QJ,Fast algorithms for projective clustering,"CC Aggarwal, CM Procopiuc, JL Wolf, PS Yu, JS Park","Proc. of ACM-SIGMOD Intl. Conf. on Management of Data,",N/A
G3dX_RTA26MJ,Fast Algorithms for Projected Clustering,"CC Aggarwal, C Procopiuc, JL Wolf, PS Yu, JS Park","SIGMOD Conference,",1999
s9hhR-EdDGgJ,A New Method for Similarity Indexing of Market Basket Data,"CC Aggarwal, JL Wolf, PS Yu","SIGMOD Conference,",1999
wjKnsQWl5ZoJ,PS Yu. A new method for similarity indexing for market data,"CC Aggarwal, L Wolf, S Yu","Proceedings of the ACM SIGMOD International Conference on  &hellip;,",N/A
dfSPs7YoyWsJ,Finding Generalized Projected Clusters In High Dimensional Spaces,"CC Aggarwal, PS Yu","SIGMOD Conference,",2000
OV5GSHDaYNMJ,"Finding Generalized Projected Clusters in High Dimensional Spaces, Sigmoid Record v. 29, No. 2, 2000 ","C Aggrawal, PS Yu","On Management of Data, Dallas, TX,",N/A
x5jeMyauzWgJ,Finding generalized projected clusters in dimensional spaces,"C Aggarwal, P Yu","ACM SIGMOD Conference,",N/A
6i8hYEhbelEJ,"Outlier Detection for High Dimensional Data. Santa Barbara, California, 2001","CC Aggarwal, PS Yu",Proceedings of the 2001 ACM SIGMOD International Conference ,N/A
QkTd5WogN-AJ,Outlier Detection for High Dimensional Data,"CC Aggarwal, PS Yu",N/A,N/A
GDoFPiEzEhQJ,Snowball: A Prototype System for Extracting Relations from Large Text Collections,"E Agichtein, L Gravano, J Pavel, V Sokolova, A  ","SIGMOD Conference,",2001
z8s4kW1y7LMJ,Snowball: extracting relations from large plain-text collections,"E Agichtein, L Gravano",N/A,N/A
3nxl8d4c0t4J,Efficient View Maintenance at Data Warehouses,"D Agrawal, A El Abbadi, A Singh, T Yurek","SIGMOD REC,",1997
7Of1HyK-VnkJ,Efficient View Maintenance Warehouses,"D Agrawal, A El Abbadi, A Singh, T Yurek","Proc. Of the 1997 ACM SIGMOD International Conference on  &hellip;,",N/A
bDiNQAdf8nEJ,Efficient View Maintenance at Data Warehouses,T Yurek,N/A,1997
C85vtVHZmjUJ,Efficient view maintenanceat data warehouse,"D Agrawal, A El Abbadi, A Singh, T Yurek","Proceedings of the ACM SIGMOD Conference,",N/A
#NAME?,Efficient Data View Maintenance Warehouses,"D Agrawal, A El Abbadi, A Singh, T Yurek","Proc. ACM SIGMOD,",N/A
HypA8oN4PqsJ,Information Sharing Across Private Databases,"R Agrawal, AV Evfimievski, R Srikant",N/A,N/A
Wrue2IkpGyEJ,andR. Srikant. Information sharingacrossprivate databases,"R Agrawal, A Evmievski",Proc. of the 2003ACM SIGMOD IntÃ¢??l Conf. on Managementof ,N/A
_LE5T2vKPUcJ,andP. Raghavan. Automatic subspace clustering of high dimensional data for data mining applications,"R Agrawal, J Gehrke, D Gunopulos",Proc. 1998 ACM-SIGMOD Int. Conf. Management of Data (SIGMOD&#39;,N/A
1rW7ao6gK-QJ,Automatic subspace clustering of high dimensional data for data mining applications,"R Agarwal, J Gehrke, D Gunopolos, P Raghavan","Proc. of SIGMOD,",N/A
5E5gcM0xPFAJ,CLIQUE: Automatic subspace clustering of high dimensional data for data mining applications,R AGRAWALÃ¢?Â¦,Proc. 1998 ACM-SIGMOD Int. Conf. Management of Data (SIGMOD,N/A
DHbEJyv20WMJ,Automatic subspace clustering of high dimensional data for data mining,"R Agrawal, J Gehrke, D Gunopulos, P Raghavan","Proceedings of the ACM SIGMOD Conference on Management of  &hellip;,",N/A
EQ0ys8s10vcJ,"Automatic Subspace Clustering of High Dimensional Data for Data Mining Applications. Eds., Haas, LM  ","R Agrawal, J Gehrke, D Gunopulos, P Raghavan","SIGMOD 1998, Proceedings ACM SIGMOD International Conference &hellip;,",N/A
rSTewQ1dQkYJ,Automatic subspace clustering of high dimensional data for data mining applications,"A Rakesh, J Gehrke, D GunopulosÃ¢?Â¦",N/A,N/A
UYQpDoh0wo0J,Automatic Subspace Clustering of High Dimensional Data for Data Mining Applications,"RAJ Gehrke, DGP Raghavan",N/A,N/A
v9JW-UJCD-YJ,andPrabhakarRaghavan. Automaticsubspaceclusteringof highdimensional data for data mining  ,"JG RakeshAgrawal, D Gunopolos","ACM SIGMOD Conference,",N/A
x8fDHaNkSUIJ,Automatic Subspace Clustering of High Dimensional Data Mining Applications,"R Agrawal, J Gehrke, D Gunopulos, P Raghavan","Proceedings of ACM SIGMOD International Conference on  &hellip;,",N/A
x92Yw8H9uH4J,Automatic Subspace Clustering of High Dimensional Data for Data Mining Application,"R Aggarwal, J Gehrke, D Gunopulos, P Raghavan","Proc. ACM SIGMOD Conf,",N/A
y55xkFQJvxAJ,Automatic subspaceclusteringof high dimensionaldatafor data mining applications,"R Agrawal, J Gehrke, D Gunopulos, P Raghavan",N/A,N/A
4m_zFz0kP7cJ,June 1999. DBIS Toolkit-Adaptible Middleware for Large-Scale Data Delivery,"M Altinel, D Aksoy, T Baby, M Franklin, W Shapiro, ",ACM SIGMOD Intl. Conference on Management of Data (SIGMOD 99,N/A
ebmulQBhqZEJ,DBIS-Toolkit: Adaptable Middleware for Large Scale Data Delivery,"M Altinel, D Aksoy, T Baby, M Franklin, W Shapiro, ","SIGMOD Conference,",1999
LCmaogUdo_YJ,"DBIS-Toolkit: Adaptive Middleware for Large Scale Data Delivery,(Demonstration Description)","M Altinel, D Aksoy, T Baby, M Franklin, W Shapiro, ",Proc. ACM SIGMOD Int&#39;l Conf. on Management of,N/A
ShFgK7Iev-QJ,DBIS-Toolkit: Adaptive Middleware for Large Scale Data Delivery,M AltinelÃ¢?Â¦,&hellip;  of the 1999 International Conference on Management of Data ,N/A
WZDgK2THjbQJ,Dbis toolkit: Adaptable middleware for large scale data delivery (demo description),"M Altinel, D Aksoy, T Baby, M Franklin, W Shapiro, ","Proceedings of the ACM SIGMOD Intl. Conference on Management &hellip;,",N/A
HtYTQ-fN8ccJ,DBCache: database caching for web application servers,"M Altinel, Q Luo, S Krishnamurthy, C Mohan, H  ","Proceedings of the 2002 ACM SIGMOD international conference  &hellip;,",2002
zzg3KI_fyyIJ,Database Caching for Web Application Servers,"M Altinel, Q Luo, S Krishnamurthy, C Mohan, H  ",N/A,2002
iE-UE2bDGZ8J,ARIADNE: A System for Constructing Mediators for Internet Sources,"JL Ambite, N Ashish, G Barish, CA Knoblock, S  ","SIGMOD Conference,",1998
L7XmLpQLXBIJ, . and Sheila Tejada. ARIADNE: A system for constructing mediators for internet sources (system  ,"JL Ambite, N Ashish, G Barish",Proc. of A CM SIGMOD Conf. on Management of,N/A
YAkpVC1qgaIJ,ARIADNE: A System for Constructing Mediators for Internet Sources (Demonstration),"J Ambite, N Ashish, G Barish, A Knoblock, S Minton ","Proceedings of ACM SIGMODÃ¢??98 conference on Management of  &hellip;,",N/A
DFubU20j1OIJ,Minimization of Tree Pattern Queries,"S Amer-Yahia, S Cho, LVS Lakshmanan, D Srivastava",N/A,N/A
VzfXEsmoyUcJ,Minimization of tree patterns queries,"S Flesca, F Furfaro, E Masciari","Proceedings of the 29th VLDB Conf,",N/A
wGxcAPsmHgIJ,Minimization of tree pattern queries,"A Sihem, C SungRan, VS Laks","Proc. of the SIGMOD. Santa Barbara,",N/A
WsCqveNDjjUJ,Minimization of tree pattem queries,"SA Yahia, S Cho, LVS LakshmananÃ¢?Â¦",Proc of the ACM SIGMOD,N/A
7-b5YXuGJS0J,PIX: Exact and Approximate Phrase Matching in XML.,"S Amer-Yahia, MF Fernandez, D Srivastava, Y Xu",N/A,N/A
fm69LHjS4T0J,exact and approximate phrase matching in XML,"S Amer-Yahia, M Fernandez, D Srivastava, YX PIX","ACM [ACM03a],",N/A
IgRat6Xyu2EJ,Pix: Exact and approximate phrase matching in xml,D Srivastava,"Proceedings of the ACM SIGMOD Conference on Management of  &hellip;,",N/A
H6eMdbXATmkJ,"Replication, consistency and practicality: Are these mutually exclusive","A Todd, B Yuri, FK Henry, W Avishai",Procs. of the ACM SIGMOD International Conf. on Management ,N/A
j6v2b9hN-R4J,"Replication, Consistency, and Practicality: Are These Mutually Exclusive?","T Anderson, Y Breitbart, HF Korth, A Wool","SIGMOD Conference,",1998
zabWzVjkZNYJ,Practicality: Are These Mutually Exclusive,"T Anderson, Y Breitbart, H Korth, A Wool, C  ","Proceedings of the ACM-SIGMOD 1998 International Conference  &hellip;,",N/A
GFTU2PvKY_gJ,"M., KRIEGEL, H.-P., et al., 1999,Ã¢??OPTICS: Ordering Points to Identify the Clustering StructureÃ¢??","M ANKERST, M BREUNIG",Proceedings of the ACM SIGMOD Conference on Management of ,N/A
hEemQ37_mPcJ,"M., Kriegel, H.-P. and Sander, J., 1999, OPTICS: Ordering points to identify the clustering  ","M Ankerst, M Breunig",Proceedings of,N/A
Hj3vyh0TJVsJ,OPTICS: Ordering Points To Identify the Clustering Structure,"M Ankerst, MM Breunig, HP Kriegel, J Sander","SIGMOD Conference,",1999
jSUcrxtXhw4J,OPTICS: Ordering Points To Identifythe Clustering Structure,"M Ankerst, M Breunig, HP Kriegel, J Sander","Proc. ACM Int. Conf. on Management of Data (SIGMODÃ¢??99),",N/A
K1ZdQsRoNloJ,OPTICS: Ordering points to identify the cluster structure,"M Ankerst, M Breunig, HP Kriegel, J Sander",Proc. 1999 ACM-SIGMOD Int. Conf. Management of,N/A
rgEDmTFPFY4J,Ordering Points To Identify the Clustering Structure Proc,"M Ankerst, MM Breunig, HP Kriegel, JS OPTICS",ACM,N/A
1DKKwROqEeYJ,STREAM: The Stanford Data Stream Management System,"A Arasu, B Babcock, S Babu, J Cieslewicz, M Datar, ",N/A,N/A
7D59wPTtkdcJ,STREAM: The Stanford Stream Data Manager,D Proposal,N/A,N/A
eXulm3jwflAJ,STREAM: the stanford stream data manager (demonstration description),"A Arasu, B Babcock, S Babu, M Datar, K Ito, I  ","Proceedings of the 2003 ACM SIGMOD international conference  &hellip;,",2003
jp9ptMpdoGwJ,"Stanford University, Extracting structured data from Web pages","A Arasu, H Garcia-Molina","Proceedings of the 2003 ACM SIGMOD international conference  &hellip;,",N/A
kfADlOEkwOkJ,S. University. Extracting structured data from web pages,"A Arasu, H Garcia-Molina",Proceedings of the 2003 ACM SIGMOD International Conference ,N/A
zN8ngmWNDlgJ,Extracting Structured Data from Web Pages,"A Arasu, H Garcia-Molina",N/A,N/A
ht_8Iq3SZ80J,The handwritten trie: indexing electronic ink,"W Aref, D BarbarÃÂ¡, P Vallabhaneni","Proceedings of the 1995 ACM SIGMOD international conference  &hellip;,",1995
K7mfVCHc3noJ,and P. Vallabhaneni. The Handwritten Trie: Indexing Electronic Ink,"W Aref, D Barbar","Technical report, MITL, October",N/A
6_FvrRYnxHYJ,High-Performance Sorting on Networks of Workstations,"AC Arpaci-Dusseau, RH Arpaci-Dusseau, DE Culler,  ","SIGMOD Conference,",1997
aCCAyNhJFtsJ,High-Performance Sorting on Networks of Workstations,DA Patterson,N/A,N/A
E_eOZJYat6IJ,High-performance sorting on networks of workstations,"AC Dusseau, RHA Dusseau, DE Culler, JM Hellerstein ","Proc. SIGMOD Intl. Conf. on Management of Data,",N/A
OaNzji_-7tsJ,"JM, Hellerstein, and DA Patterson. High-Performance Sorting on Networks of Workstations","AC Axpaci-Dusseau, RH Arpaci-Dussenu, DE Culler","&hellip;  1997ACM SIGMOD httcrnationul Conference on Mumqemen f  &hellip;,",N/A
9uxj2XzGt9UJ,Query by image content: The QBIC system,"M Flickner, H Sawhney, W Niblack, J Ashley, Q  ","IEEE Computer,",N/A
FnnILIjz08EJ,The query by image content (QBIC) system,"J Ashley, M Flickner, J Hafner, D Lee, W Niblack,  ","Proceedings of the 1995 ACM SIGMOD international conference  &hellip;,",1995
t0Wd_YW4n3cJ,Query by image and video content: the QBIC system,W NiblackÃ¢?Â¦,"IEEE Computer,",N/A
tL67lYBCRO4J,The Query By Image Content System,"J Ashley, M Flickner, J Hafner, D Lee, W Niblack,  ",Proceedings Of the 1995 ACM SIGMOD International Conference ,N/A
ZkK-ilu3tY0J,"e. alli,&quot; Query by Image and Video Content: The QBIC System,&quot;",M Flickner,"IEEE Computer,",N/A
i2LI1TWifbYJ,MDM: a Multiple-Data-Model Tool for the Management of Heterogeneous Database Schemes,"P Atzeni, R Torlone","SIGMOD Conference,",1997
KFmRUQEedY8J,MDM: a Multiple-Data-Model Tool for the Management of Heterogeneous Database Schemes,"DI Automazione, DI e Automazione",N/A,N/A
XaKiz5S-cqUJ,Mdm: a multiple-data-model tool for the management of heterogenous database schemes,"P Atzeni, R Torlone","Proceedings of the ACM Sigmod International Conference,  &hellip;,",N/A
a2wqpKma5J4J,Chain : Operator Scheduling for Memory Minimization in Data Stream Systems,"B Babcock, S Babu, M Datar, R Motwani","SIGMOD Conference,",2003
RFNZUHZBP_oJ,Chain: Operator scheduling for memory minimization in stream systems,"M Dalar, B Babcock, S Babu, R Motwani","Proceedings of ACM-SIGMOD,",N/A
RIDEvTXNpaAJ,Chain: Operator Scheduling for Memory Minimization in Stream Systems,"B Brian, B Shivnath, D Mayur, M Rajeev","Proceedings, International Conference on Management of Data  &hellip;,",N/A
rnakKC_M9-kJ,Chain: Operator Scheduling for Memory Minimization in Stream Systems,"B Babcock, S Babu, M Datar, R Motwani","Proceedings of the international SIGMOD conference, San  &hellip;,",N/A
h_oXQ6ntHEUJ,SPARTAN: A Model-Based Semantic Compression for Massive Data Tables,"S Babu, M Garofalakis, R Rastogi","ACM SIGMOD Conference,",N/A
zQCRmiH6jo4J,&quot; SPARTAN: A Model-Based Semantic Compression System for Massive Data Tables,"S Babu, M Garofalakis, R Rastogi","ACM SIGMOD Record,",2001
7N0H3ra1FFsJ,Sleepers and workaholics: Caching in mobile distributed environments,"D Barbara, T Imielinski","Proc. of ACM SIGMOD Int. Conf. on Management of Data,",N/A
bMUUwjP72hwJ,Sleepers and Workaholics: Caching Strategies in Mobile Environments,"D Barbara-Milla, T Imielinski","ACM SIGMOD Record,",N/A
